Date,CodeProduit,Pays,sales_number
2023-11-13,rge,allemagne,0.0
2023-11-13,smlt,koweït,0.0
2023-11-13,1x,australie,0.0
2023-11-13,dsmlt,belgique,0.0
2023-11-13,smlt,allemagne,0.0
2023-11-13,3x,luxembourg,0.0
2023-11-13,smlt,nouvelle-zélande,0.0
2023-11-13,quail,USA,0.0
2023-11-13,rge,canada,0.0
2023-11-13,3x,canada,0.0
2023-11-13,3x,autriche,0.0
2023-11-13,3x,nouvelle-zélande,0.0
2023-11-13,2x,canada,0.0
2023-11-13,bag,USA,0.0
2023-11-13,lot,chypre,0.0
2023-11-13,3x,finland,0.0
2023-11-13,bag,allemagne,0.0
2023-11-13,3x,nouvelle-calédonie,0.0
2023-11-13,lot,nouvelle-zélande,0.0
2023-11-13,rge,malaisie,0.0
2023-11-13,smlt,norvège,0.0
2023-11-13,2 trans,slovénie,0.0
2023-11-13,bag,italie,0.0
2023-11-13,2x,afrique de sud,0.0
2023-11-13,2 trans,afrique de sud,0.0
2023-11-13,2x,cyprus,0.0
2023-11-13,dsmlt,australie,0.0
2023-11-13,2 trans,koweït,0.0
2023-11-13,lot,koweït,0.0
2023-11-13,3x,koweït,0.0
2023-11-13,dsmlt,arabie saoudite,0.0
2023-11-13,3x,danemark,0.0
2023-11-13,2x,turquie,0.0
2023-11-13,dsmlt,pays-bas,0.0
2023-11-13,3x,arabie saoudite,0.0
2023-11-13,3x,suisse,0.0
2023-11-13,3x,chypre,0.0
2023-11-13,smlt,liban,0.0
2023-11-13,lot,canada,0.0
2023-11-13,quail,royaume-uni,0.0
2023-11-13,lot,malaisie,0.0
2023-11-13,rge,slovénie,0.0
2023-11-13,rge,australie,0.0
2023-11-13,1x,canada,0.0
2023-11-13,smlt,australie,0.0
2023-11-13,rge,pologne,0.0
2023-11-13,3x,cyprus,0.0
2023-11-13,2x,lituanie,0.0
2023-11-13,2x,irlande,0.0
2023-11-13,rge,emirats arabes unis,0.0
2023-11-13,rge,cyprus,0.0
2023-11-13,rge,grèce,0.0
2023-11-13,dsmlt,canada,0.0
2023-11-13,smlt,bulgarie,0.0
2023-11-13,1x,chypre,0.0
2023-11-13,3x,emirats arabes unis,0.0
2023-11-13,rge,corée du sud,0.0
2023-11-13,smlt,suède,0.0
2023-11-13,2x,espagne,0.0
2023-11-13,2x,suède,0.0
2023-11-13,2x,bulgarie,0.0
2023-11-13,3x,norvège,0.0
2023-11-13,smlt,chili,0.0
2023-11-13,rge,singapour,0.0
2023-11-13,smlt,roumanie,0.0
2023-11-13,1x,portugal,0.0
2023-11-13,moulin,royaume-uni,0.0
2023-11-13,smlt,suisse,0.0
2023-11-13,2 trans,emirats arabes unis,0.0
2023-11-13,dsmlt,nouvelle-zélande,0.0
2023-11-13,2 trans,nouvelle-zélande,0.0
2023-11-13,bag,pologne,0.0
2023-11-13,dsmlt,malte,0.0
2023-11-13,dsmlt,estonie,0.0
2023-11-13,lot,estonie,0.0
2023-11-13,3x,estonie,0.0
2023-11-13,rge,oman,0.0
2023-11-13,3x,finlande,0.0
2023-11-13,2x,allemagne,0.0
2023-11-13,2x,nouvelle-zélande,0.0
2023-11-13,3x,malte,0.0
2023-11-13,2x,finlande,0.0
2023-11-13,oliv,malte,0.0
2023-11-13,3x,united kingdom,0.0
2023-11-13,dsmlt,united kingdom,0.0
2023-11-13,bag,latvia,0.0
2023-11-13,smlt,united kingdom,0.0
